=== Final GESTURE Training with Maximum Regularization ===
Job started: Wed Jul 16 11:23:16 PM EDT 2025
Node: qa-a10-034.crc.nd.edu
Job ID: 1898816
Loading python/3.12.11
  Loading requirement: tcl/8.6.12
=== Environment Check ===
PyTorch version: 2.5.1+cu121
CUDA available: True
GPU: NVIDIA A10
GPU memory: 23.7 GB
✅ Final training environment ready!
=== Starting Final Training ===
/users/akoongbo/miniconda3/envs/hiera-seizure/lib/python3.12/site-packages/torch/optim/lr_scheduler.py:62: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
=== Final GESTURE Dataset Training with Maximum Regularization ===
Device: cuda
GPU: NVIDIA A10
GPU memory: 23.7 GB
Loaded 220 seizures
Train: 54 subjects, 184 seizures
Val: 14 subjects, 36 seizures
Dataset created: 68451 samples from 177 seizures
Class distribution: GTCS=36413, FOS=32038
Dataset created: 7862 samples from 35 seizures
Class distribution: GTCS=4065, FOS=3797
Class weights: tensor([1.0683, 0.9399], device='cuda:0')
Model parameters: 58,371
------------------------------------------------------------
  Batch 2580/8556, Loss: 0.4134
  Batch 2600/8556, Loss: 0.7265
  Batch 2620/8556, Loss: 0.3413
  Batch 2640/8556, Loss: 0.2933
  Batch 2660/8556, Loss: 1.0059
  Batch 2680/8556, Loss: 0.6604
  Batch 2700/8556, Loss: 0.8182
  Batch 2720/8556, Loss: 0.7959
  Batch 2740/8556, Loss: 0.4067
  Batch 2760/8556, Loss: 0.8026
  Batch 2780/8556, Loss: 0.5096
  Batch 2800/8556, Loss: 0.2678
  Batch 2820/8556, Loss: 0.2181
  Batch 2840/8556, Loss: 0.1357
  Batch 2860/8556, Loss: 0.5992
  Batch 2880/8556, Loss: 0.5672
  Batch 2900/8556, Loss: 0.6459
  Batch 2920/8556, Loss: 0.7589
  Batch 2940/8556, Loss: 1.5422
  Batch 2960/8556, Loss: 1.1422
  Batch 2980/8556, Loss: 0.5681
  Batch 3000/8556, Loss: 0.3154
  Batch 3020/8556, Loss: 0.6579
  Batch 3040/8556, Loss: 0.1987
  Batch 3060/8556, Loss: 0.6858
  Batch 3080/8556, Loss: 0.6355
  Batch 3100/8556, Loss: 0.3352
  Batch 3120/8556, Loss: 1.2218
  Batch 3140/8556, Loss: 0.7452
  Batch 3160/8556, Loss: 0.3960
  Batch 3180/8556, Loss: 0.8728
  Batch 3200/8556, Loss: 0.4978
  Batch 3220/8556, Loss: 0.7747
  Batch 3240/8556, Loss: 0.5445
  Batch 3260/8556, Loss: 0.3207
  Batch 3280/8556, Loss: 0.7554
  Batch 3300/8556, Loss: 0.5666
  Batch 3320/8556, Loss: 0.9746
  Batch 3340/8556, Loss: 0.6091
  Batch 3360/8556, Loss: 0.3105
  Batch 3380/8556, Loss: 0.4592
  Batch 3400/8556, Loss: 0.7423
